,location
0,Буськ
1,Буринь
2,Чигирин
3,Курахове
4,Сокаль
5,Червоносів
6,Городище 
7,Васильків
8,Соледар
9,Пустомити
10,Кременчук
11,Обухів
12,Балта
13,Світлодарськ
14,Кремінна
15,Вознесенськ
16,Шахтарськ
17,Южноукраїнськ
18,Ватутіне
19,Болград
20,Апостолове
21,Авдіївка
22,Торецьк
23,Старий Крим
24,Ровеньки
25,Березань 
26,Березівка
27,Добропілля
28,Ковель
29,Лисичанськ
30,Нове Давидково
31,Новоселиця
32,Старобільськ
33,Снігурівка
34,Бровари
35,Липовець
36,Кривий Ріг
37,Новий Розділ
38,Іловайськ
39,Харків
40,Люботин
41,Калинівка 
42,Новий Буг
43,Татарбунари
44,Турка
45,Дергачі
46,Берислав
47,Верхівцеве
48,Дубляни
49,Красногорівка
50,Косів
51,Чистякове
52,Новогродівка
53,Могилів-Подільський
54,Географія Вільнянська
55,Баранівка
56,Кам'янка (Черкаська область)
57,Кальміуське
58,Здолбунів
59,Сєвєродонецьк
60,Перевальськ
61,Брянка
62,Малин
63,Сокиряни
64,Олександрія
65,Амвросіївка
66,Старий Самбір
67,Вилкове
68,Ржищів
69,Іршава
70,Мелітополь
71,Попасна
72,Золотоноша
73,Сарни
74,Саки 
75,Коростень
76,Ланівці
77,Городня
78,Полонне
79,Українськ
80,Бібрка
81,Роздільна
82,Мукачево
83,Дубровиця
84,Довжанськ
85,Бурштин 
86,Кам'янське
87,Олешки
88,Павлоград
89,Первомайський 
90,Новодністровськ
91,Заводське
92,Кам'янка-Дніпровська
93,Чорнобиль
94,Таврійськ
95,Перещепине
96,Монастирище
97,Рожище
98,Трускавець
99,Лохвиця
100,Тернівка 
101,Костопіль
102,Горохів
103,Стебник
104,Вишневе 
105,Яремче
106,Тлумач
107,Жовква
108,Ізяслав
109,Любомль
110,Марганець 
111,Красилів
112,Євпаторія
113,Золоте
114,Борзна
115,Новоград-Волинський
116,Одеса
117,Комарно
118,Ічня
119,Лубни
120,Зіньків
121,Мерефа
122,Слов'янськ
123,Красноперекопськ
124,Макіївка
125,Нова Одеса
126,Снятин
127,Подільськ
128,Городенка
129,Галич
130,Моршин
131,Олександрівськ
132,Сулимівка (Слов'янськ)
133,Новомосковськ
134,Долинська
135,Покровськ
136,Каховка
137,Хорол 
138,Вільнянськ
139,Пологи 
140,Кіцмань
141,Інкерман
142,Герца
143,Карлівка
144,Белз
145,Рівне
146,Хрестівка
147,Нова Каховка
148,Бахмут
149,Донецьк
150,Помічна
151,Берестечко
152,Збараж
153,Дебальцеве
154,Ізмаїл
155,Богодухів
156,Канів
157,Бориспіль
158,Київ
159,Олевськ
160,Іллінці
161,Шепетівка
162,Ясинувата
163,Борислав
164,Свалява
165,Миколаївка 
166,Червоноград
167,Мостиська
168,Ямпіль
169,Залізне
170,Немирів
171,Радомишль
172,Надвірна
173,Сторожинець
174,Шумськ
175,Тернопіль
176,Новомиргород
177,Путивль
178,Молодогвардійськ
179,Кременець
180,Заставна
181,Бахмач
182,Батурин
183,Вугледар
184,Перемишляни
185,Миколаїв
186,Борщів
187,Першотравенськ
188,Радехів
189,Гадяч
190,Балаклія
191,Кам'янець-Подільський
192,Звенигородка
193,Чернігів
194,Хмільник
195,Лозова 
196,Деражня
197,Бобринець
198,Горішні Плавні
199,Хотин
200,Рені
201,Баштанка
202,Черкаси
203,Устилуг
204,Південне 
205,Єнакієве
206,Гуляйполе
207,Ананьїв
208,Рудки
209,Ялта
210,Хирів
211,Тиврів
212,Ірміно
213,Бучач
214,Львів
215,Скалат
216,Скадовськ
217,Зміїв
218,Тячів
219,Миргород
220,Дубно
221,Білгород-Дністровський
222,Гнівань
223,Волноваха
224,Монастириська
225,Горлівка
226,Мена 
227,Богуслав
228,Новояворівськ
229,Боково-Хрустальне
230,Березне
231,Хмельницький
232,Кагарлик
233,Алупка
234,Бережани
235,П'ятихатки
236,Пирятин
237,Білозерське
238,Жашків
239,Кипуче
240,Тульчин
241,Гайворон
242,Берегове
243,Овруч
244,Гола Пристань
245,Гірник 
246,Узин
247,Дрогобич
248,Верхньодніпровськ
249,Мар'їнка
250,Кропивницький
251,Ходорів
252,Білопілля
253,Перечин
254,Алушта
255,Чортків
256,Ромни
257,Алчевськ
258,Щастя 
259,Володимир-Волинський
260,Бобровиця
261,Жидачів
262,Луганськ
263,Тальне
264,Красноград
265,Прип'ять 
266,Краматорськ
267,Чорноморськ
268,Валки 
269,Ківерці
270,Родинське
271,Ірпінь
272,Вознесенівка
273,Бахчисарай
274,Оріхів
275,Українка 
276,Барвінкове
277,Джанкой
278,Шпола
279,Полтава
280,Куп'янськ
281,Теплодар
282,Сміла
283,Дунаївці
284,Копичинці
285,Часів Яр
286,Севастополь
287,Приморськ (Україна)
288,Сіверськ
289,Гайсин
290,Ніжин
291,Гірське
292,Хрустальний
293,Дружківка
294,Прилуки
295,Чернівці
296,Сколе
297,Рава-Руська
298,Ізюм
299,Первомайськ
300,Буча
301,Миронівка
302,Хоростків
303,Вінниця
304,Вараш
305,Костянтинівка
306,Енергодар
307,Ужгород
308,Рубіжне
309,Житомир
310,Славута
311,Новоукраїнка
